y y+ y- ds ds+ ds-
2.0625 -0.0625 0.0625 12.8 0.41231056256176607 0.41231056256176607
2.1875 -0.0625 0.0625 40.4 0.9433981132056605 0.9433981132056605
2.3125 -0.0625 0.0625 65.2 1.4866068747318506 1.4866068747318506
2.4375 -0.0625 0.0625 87.5 1.8466185312619388 1.8466185312619388
2.5625 -0.0625 0.0625 106.3 2.302172886644268 2.302172886644268
2.6875 -0.0625 0.0625 122.7 2.703701166919155 2.703701166919155
2.8125 -0.0625 0.0625 134.5 2.889636655359978 2.889636655359978
2.9375 -0.0625 0.0625 141.7 2.9832867780352594 2.9832867780352594
3.0625 -0.0625 0.0625 147.5 3.1080540535840107 3.1080540535840107
3.1875 -0.0625 0.0625 145.4 3.1080540535840107 3.1080540535840107
3.3125 -0.0625 0.0625 134.8 2.922327839240492 2.922327839240492
3.4375 -0.0625 0.0625 118.5 2.6115129714401193 2.6115129714401193
3.5625 -0.0625 0.0625 99.0 2.1563858652847827 2.1563858652847827
3.6875 -0.0625 0.0625 77.6 1.8330302779823362 1.8330302779823362
3.8125 -0.0625 0.0625 57.9 1.3341664064126333 1.3341664064126333
3.9375 -0.0625 0.0625 39.5 0.9433981132056605 0.9433981132056605
4.125 -0.125 0.125 18.2 0.45825756949558405 0.45825756949558405
4.375 -0.125 0.125 2.7 0.17320508075688776 0.17320508075688776
