pt pt+ pt- ds ds+ ds-
1.1 -1.1 1.1 2.25 0.06403124237432849 0.06403124237432849
2.8 -0.6000000000000001 0.5999999999999996 4.44 0.13674794331177342 0.13674794331177342
4.0 -0.5999999999999996 0.6000000000000001 4.37 0.13674794331177342 0.13674794331177342
5.199999999999999 -0.6000000000000005 0.5999999999999996 4.25 0.11180339887498948 0.11180339887498948
6.5 -0.7000000000000002 0.7000000000000002 3.6 0.1004987562112089 0.1004987562112089
7.949999999999999 -0.75 0.7499999999999991 3.29 0.091104335791443 0.091104335791443
9.6 -0.9000000000000004 0.9000000000000004 2.78 0.09 0.09
11.65 -1.1500000000000004 1.1500000000000004 2.37 0.061644140029689765 0.061644140029689765
14.1 -1.3000000000000007 1.299999999999999 1.849 0.04905099387372288 0.04905099387372288
17.2 -1.8000000000000007 1.799999999999999 1.407 0.04006245124802026 0.04006245124802026
21.75 -2.75 2.75 0.952 0.023727621035409343 0.023727621035409343
29.25 -4.75 4.75 0.576 0.015620499351813309 0.015620499351813309
48.5 -14.5 14.5 0.188 0.005385164807134504 0.005385164807134504
