"pt","pt+","pt-","ds","ds+","ds-"
1.1,-1.0,1.0,5.7,0.139283882771841,0.139283882771841
2.8,-0.6,0.6,11.07,0.276586333718787,0.276586333718787
4,-0.6,0.6,11.44,0.284604989415154,0.284604989415154
5.2,-0.600000000000001,0.6,11.28,0.279105714739057,0.279105714739057
6.5,-0.7,0.7,9.94,0.231732604525129,0.231732604525129
7.95,-0.75,0.749999999999999,8.86,0.22,0.22
9.6,-0.9,0.9,7.75,0.177482393492988,0.177482393492988
11.65,-1.15,1.15,6.44,0.150665191733194,0.150665191733194
14.1,-1.3,1.3,5.16,0.113578166916005,0.113578166916005
17.2,-1.8,1.8,4.03,0.0916515138991168,0.0916515138991168
21.75,-2.75,2.75,2.88,0.0678232998312527,0.0678232998312527
29.25,-4.75,4.75,1.774,0.0391152144312159,0.0391152144312159
48.5,-14.5,14.5,0.674,0.0148996644257513,0.0148996644257513
166.5,-103.5,103.5,0.0361,0.000830662386291808,0.000830662386291808
