#: table_doi: 10.17182/hepdata.147274.v1/t1
#: name: Table10
#: description: Measured single differential cross-sections in bins of $y^{Z}$. The first uncertainty is statistical, the second systematic, and the third is from the uncertainty on the integrated luminosity.
#: data_file: cen_y.yaml
#: keyword observables: differential cross-section
#: keyword reactions: P P --> Z0/gamma* --> mu+ mu-
$y^Z$,$y^Z$ LOW,$y^Z$ HIGH,$d\sigma(M_{\mu\mu})/d{y^Z}$ [pb],stat +,stat -,syst +,syst -,"sys,lumi +","sys,lumi -"
2.0625,2.0,2.125,4.4,0.7,-0.7,0.1,-0.1,0.1,-0.1
2.1875,2.125,2.25,14.6,1.2,-1.2,0.2,-0.2,0.3,-0.3
2.3125,2.25,2.375,24.3,1.5,-1.5,0.4,-0.4,0.5,-0.5
2.4375,2.375,2.5,27.5,1.6,-1.6,0.6,-0.6,0.6,-0.6
2.5625,2.5,2.625,36.1,1.8,-1.8,0.8,-0.8,0.7,-0.7
2.6875,2.625,2.75,39.9,2.0,-2.0,0.7,-0.7,0.8,-0.8
2.8125,2.75,2.875,42.6,2.0,-2.0,0.7,-0.7,0.9,-0.9
2.9375,2.875,3.0,38.8,1.9,-1.9,0.7,-0.7,0.8,-0.8
3.0625,3.0,3.125,30.8,1.7,-1.7,0.5,-0.5,0.6,-0.6
3.1875,3.125,3.25,25.5,1.6,-1.6,0.4,-0.4,0.5,-0.5
3.3125,3.25,3.375,16.0,1.3,-1.3,0.3,-0.3,0.3,-0.3
3.5,3.375,3.625,6.8,0.6,-0.6,0.2,-0.2,0.1,-0.1
3.8125,3.625,4.0,0.7,0.2,-0.2,0.0,-0.0,0.0,-0.0

