#: table_doi: 10.17182/hepdata.147274.v1/t2
#: name: Table11
#: description: Measured single differential cross-sections in bins of $p_{T}^{Z}$. The first uncertainty is statistical, the second systematic, and the third is due to the luminosity.
#: data_file: cen_Zpt.yaml
#: keyword observables: differential cross-section
#: keyword reactions: P P --> Z0/gamma* --> mu+ mu-
$p_{T}^{Z}$ [GeV$/c^2$],$p_{T}^{Z}$ [GeV$/c^2$] LOW,$p_{T}^{Z}$ [GeV$/c^2$] HIGH,$d\sigma(M_{\mu\mu})/d{p_{T}^{Z}}$ [pb/(GeV$/c^2$)],stat +,stat -,syst +,syst -,"sys,lumi +","sys,lumi -"
1.1,0.0,2.2,1.769,0.105,-0.105,0.036,-0.036,0.035,-0.035
2.8,2.2,3.4,2.77,0.17,-0.17,0.07,-0.07,0.06,-0.06
4.0,3.4,4.6,3.23,0.19,-0.19,0.07,-0.07,0.06,-0.06
5.199999999999999,4.6,5.8,2.71,0.17,-0.17,0.06,-0.06,0.05,-0.05
6.5,5.8,7.2,2.27,0.14,-0.14,0.05,-0.05,0.05,-0.05
7.949999999999999,7.2,8.7,2.09,0.13,-0.13,0.06,-0.06,0.04,-0.04
9.6,8.7,10.5,1.806,0.11,-0.11,0.03,-0.03,0.036,-0.036
11.65,10.5,12.8,1.234,0.076,-0.076,0.028,-0.028,0.025,-0.025
14.100000000000001,12.8,15.4,0.911,0.063,-0.063,0.025,-0.025,0.018,-0.018
17.2,15.4,19.0,0.759,0.05,-0.05,0.017,-0.017,0.015,-0.015
26.5,19.0,34.0,0.328,0.016,-0.016,0.009,-0.009,0.007,-0.007
77.0,34.0,120.0,0.0325,0.0021,-0.0021,0.0009,-0.0009,0.0007,-0.0007

