#: table_doi: 10.17182/hepdata.147274.v1/t3
#: name: Table12
#: description: Measured single differential cross-sections in bins of $\phi_{\eta}^{*}$. The first uncertainty is statistical, the second systematic, and the third is due to the luminosity.
#: data_file: cen_phi.yaml
#: keyword observables: differential cross-section
#: keyword reactions: P P --> Z0/gamma* --> mu+ mu-
$\phi_{\eta}^{*}$,$\phi_{\eta}^{*}$ LOW,$\phi_{\eta}^{*}$ HIGH,$d\sigma(M_{\mu\mu})/d{\phi_{\eta}^{*}}$ [pb],stat +,stat -,syst +,syst -,"sys,lumi +","sys,lumi -"
0.005,0.0,0.01,468.5,23.8,-23.8,9.2,-9.2,9.4,-9.4
0.015,0.01,0.02,442.4,23.4,-23.4,6.6,-6.6,8.8,-8.8
0.025,0.02,0.03,384.6,21.9,-21.9,5.6,-5.6,7.7,-7.7
0.04,0.03,0.05,311.6,13.8,-13.8,5.0,-5.0,6.2,-6.2
0.060000000000000005,0.05,0.07,212.1,11.5,-11.5,3.3,-3.3,4.2,-4.2
0.085,0.07,0.1,160.4,8.0,-8.0,4.2,-4.2,3.2,-3.2
0.125,0.1,0.15,87.63,4.51,-4.51,1.91,-1.91,1.75,-1.75
0.175,0.15,0.2,45.59,3.31,-3.31,1.0,-1.0,0.91,-0.91
0.25,0.2,0.3,24.21,1.7,-1.7,0.51,-0.51,0.48,-0.48
0.44999999999999996,0.3,0.6,6.3,0.49,-0.49,0.22,-0.22,0.13,-0.13
0.8999999999999999,0.6,1.2,0.571,0.108,-0.108,0.015,-0.015,0.011,-0.011

