#: table_doi: 10.17182/hepdata.147274.v1/t5
#: name: Table14
#: description: Statistical correlation matrix for the one-dimensional $p_{T}^{Z}$ measurement.
#: data_file: LPer_ptstat.yaml
#: keyword observables: 
Bin,Bin,Correlation
1,1,1.0
2,1,0.16
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
1,2,0.16
2,2,1.0
3,2,0.18
4,2,0.01
5,2,0.0
6,2,0.0
7,2,0.0
8,2,0.0
9,2,0.0
10,2,0.0
11,2,0.0
12,2,0.0
1,3,0.0
2,3,0.18
3,3,1.0
4,3,0.18
5,3,0.01
6,3,0.0
7,3,0.0
8,3,0.0
9,3,0.0
10,3,0.0
11,3,0.0
12,3,0.0
1,4,0.0
2,4,0.01
3,4,0.18
4,4,1.0
5,4,0.18
6,4,0.01
7,4,0.0
8,4,0.0
9,4,0.0
10,4,0.0
11,4,0.0
12,4,0.0
1,5,0.0
2,5,0.0
3,5,0.01
4,5,0.18
5,5,1.0
6,5,0.14
7,5,0.01
8,5,0.0
9,5,0.0
10,5,0.0
11,5,0.0
12,5,0.0
1,6,0.0
2,6,0.0
3,6,0.0
4,6,0.01
5,6,0.14
6,6,1.0
7,6,0.12
8,6,0.0
9,6,0.0
10,6,0.0
11,6,0.0
12,6,0.01
1,7,0.0
2,7,0.0
3,7,0.0
4,7,0.0
5,7,0.01
6,7,0.12
7,7,1.0
8,7,0.1
9,7,0.0
10,7,0.0
11,7,0.0
12,7,0.0
1,8,0.0
2,8,0.0
3,8,0.0
4,8,0.0
5,8,0.0
6,8,0.0
7,8,0.1
8,8,1.0
9,8,0.1
10,8,0.0
11,8,0.0
12,8,0.0
1,9,0.0
2,9,0.0
3,9,0.0
4,9,0.0
5,9,0.0
6,9,0.0
7,9,0.0
8,9,0.1
9,9,1.0
10,9,0.05
11,9,0.0
12,9,0.0
1,10,0.0
2,10,0.0
3,10,0.0
4,10,0.0
5,10,0.0
6,10,0.0
7,10,0.0
8,10,0.0
9,10,0.05
10,10,1.0
11,10,0.04
12,10,0.01
1,11,0.0
2,11,0.0
3,11,0.0
4,11,0.0
5,11,0.0
6,11,0.0
7,11,0.0
8,11,0.0
9,11,0.0
10,11,0.04
11,11,1.0
12,11,0.01
1,12,0.0
2,12,0.0
3,12,0.0
4,12,0.0
5,12,0.0
6,12,0.01
7,12,0.0
8,12,0.0
9,12,0.0
10,12,0.01
11,12,0.01
12,12,1.0

