#: table_doi: 10.17182/hepdata.147274.v1/t7
#: name: Table16
#: description: Correlation matrix for the efficiency uncertainty of the one-dimensional $y^{Z}$ measurement.
#: data_file: LPer_ysyst.yaml
#: keyword observables: 
Bin,Bin,Correlation
1,1,1.0
2,1,0.92
3,1,0.68
4,1,0.56
5,1,0.49
6,1,0.34
7,1,0.31
8,1,0.19
9,1,0.14
10,1,0.13
11,1,0.13
12,1,0.16
13,1,0.16
1,2,0.92
2,2,1.0
3,2,0.89
4,2,0.74
5,2,0.62
6,2,0.47
7,2,0.41
8,2,0.28
9,2,0.21
10,2,0.19
11,2,0.18
12,2,0.22
13,2,0.21
1,3,0.68
2,3,0.89
3,3,1.0
4,3,0.93
5,3,0.77
6,3,0.65
7,3,0.54
8,3,0.4
9,3,0.29
10,3,0.27
11,3,0.25
12,3,0.29
13,3,0.27
1,4,0.56
2,4,0.74
3,4,0.93
4,4,1.0
5,4,0.92
6,4,0.81
7,4,0.67
8,4,0.53
9,4,0.38
10,4,0.35
11,4,0.33
12,4,0.37
13,4,0.34
1,5,0.49
2,5,0.62
3,5,0.77
4,5,0.92
5,5,1.0
6,5,0.95
7,5,0.82
8,5,0.69
9,5,0.51
10,5,0.44
11,5,0.42
12,5,0.46
13,5,0.42
1,6,0.34
2,6,0.47
3,6,0.65
4,6,0.81
5,6,0.95
6,6,1.0
7,6,0.94
8,6,0.81
9,6,0.63
10,6,0.54
11,6,0.52
12,6,0.57
13,6,0.52
1,7,0.31
2,7,0.41
3,7,0.54
4,7,0.67
5,7,0.82
6,7,0.94
7,7,1.0
8,7,0.93
9,7,0.78
10,7,0.69
11,7,0.68
12,7,0.72
13,7,0.68
1,8,0.19
2,8,0.28
3,8,0.4
4,8,0.53
5,8,0.69
6,8,0.81
7,8,0.93
8,8,1.0
9,8,0.94
10,8,0.87
11,8,0.87
12,8,0.89
13,8,0.87
1,9,0.14
2,9,0.21
3,9,0.29
4,9,0.38
5,9,0.51
6,9,0.63
7,9,0.78
8,9,0.94
9,9,1.0
10,9,0.99
11,9,0.98
12,9,0.99
13,9,0.98
1,10,0.13
2,10,0.19
3,10,0.27
4,10,0.35
5,10,0.44
6,10,0.54
7,10,0.69
8,10,0.87
9,10,0.99
10,10,1.0
11,10,1.0
12,10,1.0
13,10,1.0
1,11,0.13
2,11,0.18
3,11,0.25
4,11,0.33
5,11,0.42
6,11,0.52
7,11,0.68
8,11,0.87
9,11,0.98
10,11,1.0
11,11,1.0
12,11,1.0
13,11,1.0
1,12,0.16
2,12,0.22
3,12,0.29
4,12,0.37
5,12,0.46
6,12,0.57
7,12,0.72
8,12,0.89
9,12,0.99
10,12,1.0
11,12,1.0
12,12,1.0
13,12,1.0
1,13,0.16
2,13,0.21
3,13,0.27
4,13,0.34
5,13,0.42
6,13,0.52
7,13,0.68
8,13,0.87
9,13,0.98
10,13,1.0
11,13,1.0
12,13,1.0
13,13,1.0

