#: table_doi: 10.17182/hepdata.147274.v1/t8
#: name: Table17
#: description: Correlation matrix for the efficiency uncertainty of the one-dimensional $p_{T}^{Z}$ measurement.
#: data_file: LPer_ptsyst.yaml
#: keyword observables: 
Bin,Bin,Correlation
1,1,1.0
2,1,1.0
3,1,1.0
4,1,1.0
5,1,1.0
6,1,0.99
7,1,1.0
8,1,0.99
9,1,0.99
10,1,0.98
11,1,0.96
12,1,0.94
1,2,1.0
2,2,1.0
3,2,0.99
4,2,1.0
5,2,1.0
6,2,0.98
7,2,1.0
8,2,0.99
9,2,0.99
10,2,0.98
11,2,0.94
12,2,0.93
1,3,1.0
2,3,0.99
3,3,1.0
4,3,1.0
5,3,1.0
6,3,0.99
7,3,1.0
8,3,0.99
9,3,0.98
10,3,0.98
11,3,0.95
12,3,0.93
1,4,1.0
2,4,1.0
3,4,1.0
4,4,1.0
5,4,1.0
6,4,0.99
7,4,1.0
8,4,1.0
9,4,0.99
10,4,0.99
11,4,0.96
12,4,0.95
1,5,1.0
2,5,1.0
3,5,1.0
4,5,1.0
5,5,1.0
6,5,0.98
7,5,1.0
8,5,0.99
9,5,0.99
10,5,0.98
11,5,0.95
12,5,0.93
1,6,0.99
2,6,0.98
3,6,0.99
4,6,0.99
5,6,0.98
6,6,1.0
7,6,0.98
8,6,0.99
9,6,0.98
10,6,0.99
11,6,0.97
12,6,0.96
1,7,1.0
2,7,1.0
3,7,1.0
4,7,1.0
5,7,1.0
6,7,0.98
7,7,1.0
8,7,0.99
9,7,0.98
10,7,0.97
11,7,0.93
12,7,0.92
1,8,0.99
2,8,0.99
3,8,0.99
4,8,1.0
5,8,0.99
6,8,0.99
7,8,0.99
8,8,1.0
9,8,0.99
10,8,0.99
11,8,0.97
12,8,0.97
1,9,0.99
2,9,0.99
3,9,0.98
4,9,0.99
5,9,0.99
6,9,0.98
7,9,0.98
8,9,0.99
9,9,1.0
10,9,0.98
11,9,0.97
12,9,0.97
1,10,0.98
2,10,0.98
3,10,0.98
4,10,0.99
5,10,0.98
6,10,0.99
7,10,0.97
8,10,0.99
9,10,0.98
10,10,1.0
11,10,0.98
12,10,0.98
1,11,0.96
2,11,0.94
3,11,0.95
4,11,0.96
5,11,0.95
6,11,0.97
7,11,0.93
8,11,0.97
9,11,0.97
10,11,0.98
11,11,1.0
12,11,0.99
1,12,0.94
2,12,0.93
3,12,0.93
4,12,0.95
5,12,0.93
6,12,0.96
7,12,0.92
8,12,0.97
9,12,0.97
10,12,0.98
11,12,0.99
12,12,1.0

