#: table_doi: 10.17182/hepdata.147274.v1/t9
#: name: Table18
#: description: Correlation matrix for the efficiency uncertainty of the one-dimensional $\phi_{\eta}^{*}$ measurement.
#: data_file: LPer_phisyst.yaml
#: keyword observables: 
Bin,Bin,Correlation
1,1,1.0
2,1,0.99
3,1,0.99
4,1,1.0
5,1,1.0
6,1,0.99
7,1,0.99
8,1,0.99
9,1,0.97
10,1,0.96
11,1,0.94
1,2,0.99
2,2,1.0
3,2,1.0
4,2,1.0
5,2,0.99
6,2,0.98
7,2,0.98
8,2,0.98
9,2,0.96
10,2,0.95
11,2,0.95
1,3,0.99
2,3,1.0
3,3,1.0
4,3,1.0
5,3,0.99
6,3,0.99
7,3,0.99
8,3,0.98
9,3,0.97
10,3,0.96
11,3,0.96
1,4,1.0
2,4,1.0
3,4,1.0
4,4,1.0
5,4,1.0
6,4,0.99
7,4,0.99
8,4,0.99
9,4,0.97
10,4,0.96
11,4,0.95
1,5,1.0
2,5,0.99
3,5,0.99
4,5,1.0
5,5,1.0
6,5,0.99
7,5,0.99
8,5,0.99
9,5,0.98
10,5,0.97
11,5,0.95
1,6,0.99
2,6,0.98
3,6,0.99
4,6,0.99
5,6,0.99
6,6,1.0
7,6,0.99
8,6,1.0
9,6,0.99
10,6,0.99
11,6,0.96
1,7,0.99
2,7,0.98
3,7,0.99
4,7,0.99
5,7,0.99
6,7,0.99
7,7,1.0
8,7,0.98
9,7,0.98
10,7,0.98
11,7,0.95
1,8,0.99
2,8,0.98
3,8,0.98
4,8,0.99
5,8,0.99
6,8,1.0
7,8,0.98
8,8,1.0
9,8,0.98
10,8,0.98
11,8,0.95
1,9,0.97
2,9,0.96
3,9,0.97
4,9,0.97
5,9,0.98
6,9,0.99
7,9,0.98
8,9,0.98
9,9,1.0
10,9,0.99
11,9,0.95
1,10,0.96
2,10,0.95
3,10,0.96
4,10,0.96
5,10,0.97
6,10,0.99
7,10,0.98
8,10,0.98
9,10,0.99
10,10,1.0
11,10,0.97
1,11,0.94
2,11,0.95
3,11,0.96
4,11,0.95
5,11,0.95
6,11,0.96
7,11,0.95
8,11,0.95
9,11,0.95
10,11,0.97
11,11,1.0

