x,+,-,y,+,-,stat +,stat -,syst +,syst -,"sys,lumi +","sys,lumi -",$p_{T}^{Z}$ [GeV$/c^2$] LOW,$p_{T}^{Z}$ [GeV$/c^2$] HIGH
1.1,1.1,-1.1,1.769,0.013546,0.013546,0.105,-0.105,0.036,-0.036,0.035,-0.035,0,2.2
2.8,0.6,-0.6,2.77,0.0374,0.0374,0.17,-0.17,0.07,-0.07,0.06,-0.06,2.2,3.4
4,0.6,-0.6,3.23,0.0446,0.0446,0.19,-0.19,0.07,-0.07,0.06,-0.06,3.4,4.6
5.2,0.600000000000001,-0.6,2.71,0.035,0.035,0.17,-0.17,0.06,-0.06,0.05,-0.05,4.6,5.8
6.5,0.7,-0.7,2.27,0.0246,0.0246,0.14,-0.14,0.05,-0.05,0.05,-0.05,5.8,7.2
7.95,0.75,-0.749999999999999,2.09,0.0221,0.0221,0.13,-0.13,0.06,-0.06,0.04,-0.04,7.2,8.7
9.6,0.9,-0.9,1.806,0.014296,0.014296,0.11,-0.11,0.03,-0.03,0.036,-0.036,8.7,10.5
11.65,1.15,-1.15,1.234,0.007185,0.007185,0.076,-0.076,0.028,-0.028,0.025,-0.025,10.5,12.8
14.1,1.3,-1.3,0.911,0.004918,0.004918,0.063,-0.063,0.025,-0.025,0.018,-0.018,12.8,15.4
17.2,1.8,-1.8,0.759,0.003014,0.003014,0.05,-0.05,0.017,-0.017,0.015,-0.015,15.4,19
26.5,7.5,-7.5,0.328,0.000386,0.000386,0.016,-0.016,0.009,-0.009,0.007,-0.007,19,34
77,43,-43,0.0325,0.00000571,0.00000571,0.0021,-0.0021,0.0009,-0.0009,0.0007,-0.0007,34,120
