#: table_doi: 10.17182/hepdata.132011.v2/t21
#: name: Table 17
#: description: Measured double differential cross-sections in interval regions of $y^{Z}$ and $p_{T}^{Z}$. The first uncertainty is statistical, the second systematic, and the third is due to the luminosity.
#: data_file: table_17.yaml
#: keyword cmenergies: 13000
#: keyword reactions: P P --> Z0 <MU+ MU-> X
#: keyword phrases: Cross Section | Di-Muon Production | Z Production | Double Differential Cross Section | Rapidity Dependence | Transverse Momentum Dependence
#: keyword observables: D2SIG/DYRAP/DPT
#: $y^Z$,,,2.0-2.5
#: $\eta(\mu^{\pm})$,,,2.0-4.5
#: $M_{\mu\mu}$,,,60-120 GeV$/c^2$
#: $p_{T}(\mu^{\pm})$,,,$>20$ GeV$/c$
#: SQRT(S) [TeV],,,13
#: LUMINOSITY [fb$^{-1}$],,,5.1
$p_{T}^{Z}$ [GeV$/c$],$p_{T}^{Z}$ [GeV$/c$] LOW,$p_{T}^{Z}$ [GeV$/c$] HIGH,$d^2\sigma(Z -> \mu^+\mu^-)/dp_{T}^{Z}dy^Z$ [pb],(Stat.) +,(Stat.) -,(Syst.) +,(Syst.) -,(Lumi.) +,(Lumi.) -
1.1,0.0,2.2,1.237,0.018,-0.018,0.021,-0.021,0.025,-0.025
2.8,2.2,3.4,2.43,0.04,-0.04,0.07,-0.07,0.05,-0.05
4.0,3.4,4.6,2.68,0.03,-0.03,0.04,-0.04,0.05,-0.05
5.199999999999999,4.6,5.8,2.49,0.03,-0.03,0.04,-0.04,0.05,-0.05
6.5,5.8,7.2,2.32,0.03,-0.03,0.03,-0.03,0.05,-0.05
7.949999999999999,7.2,8.7,2.11,0.03,-0.03,0.03,-0.03,0.04,-0.04
9.6,8.7,10.5,1.849,0.022,-0.022,0.03,-0.03,0.037,-0.037
11.65,10.5,12.8,1.542,0.018,-0.018,0.026,-0.026,0.031,-0.031
14.100000000000001,12.8,15.4,1.321,0.016,-0.016,0.016,-0.016,0.026,-0.026
17.2,15.4,19.0,1.03,0.012,-0.012,0.013,-0.013,0.021,-0.021
21.75,19.0,24.5,0.782,0.008,-0.008,0.009,-0.009,0.016,-0.016
29.25,24.5,34.0,0.517,0.005,-0.005,0.005,-0.005,0.01,-0.01
48.5,34.0,63.0,0.228,0.002,-0.002,0.003,-0.003,0.005,-0.005
166.5,63.0,270.0,0.0167,0.0002,-0.0002,0.0002,-0.0002,0.0003,-0.0003

#: $y^Z$,,,2.5-3.0
#: $\eta(\mu^{\pm})$,,,2.0-4.5
#: $M_{\mu\mu}$,,,60-120 GeV/$\it{c}^{2}$
#: $p_{T}(\mu^{\pm})$,,,$>20$ GeV/$\it{c}$
#: SQRT(S) [TeV],,,13
#: LUMINOSITY [fb$^{-1}$],,,5.1
$p_{T}^{Z}$ [GeV$/c$],$p_{T}^{Z}$ [GeV$/c$] LOW,$p_{T}^{Z}$ [GeV$/c$] HIGH,$d^2\sigma(Z -> \mu^+\mu^-)/dp_{T}^{Z}dy^Z$ [pb],(Stat.) +,(Stat.) -,(Syst.) +,(Syst.) -,(Lumi.) +,(Lumi.) -
1.1,0.0,2.2,3.37,0.03,-0.03,0.05,-0.05,0.07,-0.07
2.8,2.2,3.4,6.53,0.06,-0.06,0.08,-0.08,0.13,-0.13
4.0,3.4,4.6,6.88,0.05,-0.05,0.09,-0.09,0.14,-0.14
5.199999999999999,4.6,5.8,6.8,0.06,-0.06,0.11,-0.11,0.14,-0.14
6.5,5.8,7.2,6.09,0.05,-0.05,0.07,-0.07,0.12,-0.12
7.949999999999999,7.2,8.7,5.57,0.04,-0.04,0.06,-0.06,0.11,-0.11
