Pt,+,-,dsig,+,-,,xhigh,xlow,,(Stat.) +,(Stat.) -,(Syst.) +,(Syst.) -,(Lumi.) +,(Lumi.) -
1.1,-1.1,1.1,3.37,0.0372827037646145,0.0372827037646145,,2.2,0,,0.03,-0.03,0.05,-0.05,0.07,-0.07
2.8,-0.6,0.6,6.53,0.0948683298050514,0.0948683298050514,,3.4,2.2,,0.06,-0.06,0.08,-0.08,0.13,-0.13
4,-0.6,0.6,6.88,0.0707106781186548,0.0707106781186548,,4.6,3.4,,0.05,-0.05,0.09,-0.09,0.14,-0.14
5.2,-0.600000000000001,0.6,6.8,0.0707106781186548,0.0707106781186548,,5.8,4.6,,0.06,-0.06,0.11,-0.11,0.14,-0.14
6.5,-0.7,0.7,6.09,0.06557438524302,0.06557438524302,,7.2,5.8,,0.05,-0.05,0.07,-0.07,0.12,-0.12
7.95,-0.75,0.749999999999999,5.57,0.058309518948453,0.058309518948453,,8.7,7.2,,0.04,-0.04,0.06,-0.06,0.11,-0.11
9.6,-0.9,0.9,4.89,0.0524690384893796,0.0524690384893796,,10.5,8.7,,0.04,-0.04,0.06,-0.06,0.1,-0.1
11.65,-1.15,1.15,4.04,0.0442831796509691,0.0442831796509691,,12.8,10.5,,0.03,-0.03,0.04,-0.04,0.08,-0.08
14.1,-1.3,1.3,3.26,0.0344673758792282,0.0344673758792282,,15.4,12.8,,0.02,-0.02,0.03,-0.03,0.07,-0.07
17.2,-1.8,1.8,2.6,0.027459060435492,0.027459060435492,,19,15.4,,0.02,-0.02,0.03,-0.03,0.05,-0.05
21.75,-2.75,2.75,1.911,0.0200249843945008,0.0200249843945008,,24.5,19,,0.013,-0.013,0.017,-0.017,0.038,-0.038
29.25,-4.75,4.75,1.202,0.0122474487139159,0.0122474487139159,,34,24.5,,0.008,-0.008,0.01,-0.01,0.024,-0.024
48.5,-14.5,14.5,0.481,0.00616441400296898,0.00616441400296898,,63,34,,0.003,-0.003,0.004,-0.004,0.01,-0.01
166.5,-103.5,103.5,0.0289,0.000412310562561766,0.000412310562561766,,270,63,,0.0003,-0.0003,0.0002,-0.0002,0.0006,-0.0006
