PT,+,-,DSIG,+,-,,xlow,xhigh,,(Stat.) +,(Stat.) -,(Syst.) +,(Syst.) -,(Lumi.) +,(Lumi.) -
1.1,1.1,-1.1,4.16,0.10770329614269,0.10770329614269,,0,2.2,,0.04,-0.04,0.06,-0.06,0.08,-0.08
2.8,0.6,-0.6,8.06,0.197989898732233,0.197989898732233,,2.2,3.4,,0.06,-0.06,0.1,-0.1,0.16,-0.16
4,0.6,-0.6,8.25,0.222261107708929,0.222261107708929,,3.4,4.6,,0.06,-0.06,0.13,-0.13,0.17,-0.17
5.2,0.6,-0.600000000000001,8.17,0.197989898732233,0.197989898732233,,4.6,5.8,,0.06,-0.06,0.1,-0.1,0.16,-0.16
6.5,0.7,-0.7,7.25,0.16431676725155,0.16431676725155,,5.8,7.2,,0.05,-0.05,0.07,-0.07,0.14,-0.14
7.95,0.749999999999999,-0.75,6.26,0.171464281994822,0.171464281994822,,7.2,8.7,,0.05,-0.05,0.1,-0.1,0.13,-0.13
9.6,0.9,-0.9,5.56,0.131529464379659,0.131529464379659,,8.7,10.5,,0.04,-0.04,0.06,-0.06,0.11,-0.11
11.65,1.15,-1.15,4.51,0.10295630140987,0.10295630140987,,10.5,12.8,,0.03,-0.03,0.04,-0.04,0.09,-0.09
14.1,1.3,-1.3,3.63,0.0818535277187245,0.0818535277187245,,12.8,15.4,,0.03,-0.03,0.03,-0.03,0.07,-0.07
17.2,1.8,-1.8,2.81,0.066332495807108,0.066332495807108,,15.4,19,,0.02,-0.02,0.02,-0.02,0.06,-0.06
21.75,2.75,-2.75,1.966,0.0527162214123888,0.0527162214123888,,19,24.5,,0.013,-0.013,0.033,-0.033,0.039,-0.039
29.25,4.75,-4.75,1.175,0.0272029410174709,0.0272029410174709,,24.5,34,,0.008,-0.008,0.01,-0.01,0.024,-0.024
48.5,14.5,-14.5,0.429,0.0107238052947636,0.0107238052947636,,34,63,,0.003,-0.003,0.005,-0.005,0.009,-0.009
166.5,103.5,-103.5,0.0202,0.000489897948556636,0.000489897948556636,,63,270,,0.0002,-0.0002,0.0002,-0.0002,0.0004,-0.0004
