Pt,+,-,dsig,+,-,,xhigh,xlow,,(Stat.) +,(Stat.) -,(Syst.) +,(Syst.) -,(Lumi.) +,(Lumi.) -
1.1,-1.1,1.1,0.377,0.0372827037646145,0.0372827037646145,,0,2.2,,0.012,-0.012,0.023,-0.023,0.008,-0.008
2.8,-0.6,0.6,0.702,0.0948683298050514,0.0948683298050514,,2.2,3.4,,0.02,-0.02,0.026,-0.026,0.014,-0.014
4,-0.6,0.6,0.76,0.0707106781186548,0.0707106781186548,,3.4,4.6,,0.02,-0.02,0.024,-0.024,0.015,-0.015
5.2,-0.600000000000001,0.6,0.762,0.0707106781186548,0.0707106781186548,,4.6,5.8,,0.022,-0.022,0.025,-0.025,0.015,-0.015
6.5,-0.7,0.7,0.61,0.06557438524302,0.06557438524302,,5.8,7.2,,0.017,-0.017,0.02,-0.02,0.012,-0.012
7.95,-0.75,0.749999999999999,0.509,0.058309518948453,0.058309518948453,,7.2,8.7,,0.015,-0.015,0.026,-0.026,0.01,-0.01
9.6,-0.9,0.9,0.432,0.0524690384893796,0.0524690384893796,,8.7,10.5,,0.014,-0.014,0.016,-0.016,0.009,-0.009
11.65,-1.15,1.15,0.392,0.0442831796509691,0.0442831796509691,,10.5,12.8,,0.01,-0.01,0.022,-0.022,0.008,-0.008
14.1,-1.3,1.3,0.26,0.0344673758792282,0.0344673758792282,,12.8,15.4,,0.007,-0.007,0.009,-0.009,0.005,-0.005
17.2,-1.8,1.8,0.213,0.027459060435492,0.027459060435492,,15.4,19,,0.006,-0.006,0.009,-0.009,0.004,-0.004
21.75,-2.75,2.75,0.141,0.0200249843945008,0.0200249843945008,,19,24.5,,0.004,-0.004,0.007,-0.007,0.003,-0.003
29.25,-4.75,4.75,0.0768,0.0122474487139159,0.0122474487139159,,24.5,34,,0.0021,-0.0021,0.0015,-0.0015,0.0015,-0.0015
48.5,-14.5,14.5,0.0211,0.00616441400296898,0.00616441400296898,,34,63,,0.0006,-0.0006,0.0009,-0.0009,0.0004,-0.0004
166.5,-103.5,103.5,0.00033,0.000412310562561766,0.000412310562561766,,63,270,,0.00003,-0.00003,0.00001,-0.00001,0.00001,-0.00001
